arena_name,city,state_or_country,location,start_date,end_date
Quicken Loans Arena,Cleveland,Ohio,Gateway District/Downtown,2005-08-01,2019-03-31
Rocket Arena,Cleveland,Ohio,Gateway District/Downtown,2025-02-18,2026-06-30
Rocket Mortgage Fieldhouse,Cleveland,Ohio,Gateway District/Downtown,2019-04-01,2025-02-17
Rose Garden Arena,Portland,Oregon,Rose Quarter/Lloyd District,1995-10-12,2013-08-12
SBC Center,San Antonio,Texas,East Side,2002-10-18,2005-12-31
STAPLES Center,Los Angeles,California,South Park/Downtown,1999-10-17,2021-12-24
Saitama Super Arena,Saitama,Japan,Chuo-ku/Shin-Toshin,2000-09-01,2026-06-30
Scotiabank Arena,Toronto,Ontario,Downtown/Harbourfront,2018-07-01,2026-06-30
Sleep Train Arena,Sacramento,California,North Natomas,2013-01-01,2016-10-30
Smoothie King Center,New Orleans,Louisiana,Central Business District,2014-02-05,2026-06-30
Spectrum Center,Charlotte,North Carolina,Uptown (First Ward),2016-08-17,2026-06-30
State Farm Arena,Atlanta,Georgia,Centennial Olympic Park District,2018-08-29,2026-06-30
T-Mobile Arena,Las Vegas,Nevada,Las Vegas Strip,2016-04-06,2026-06-30
TD Banknorth Garden,Boston,Massachusetts,West End,2005-07-01,2009-07-15
TD Garden,Boston,Massachusetts,West End,2009-07-16,2026-06-30
TD Waterhouse Centre,Orlando,Florida,Downtown,1999-10-01,2002-12-31
Talking Stick Resort Arena,Phoenix,Arizona,Downtown,2015-09-01,2020-10-31
Target Center,Minneapolis,Minnesota,Warehouse District/North Loop,1990-10-16,2026-06-30
The Arena in Oakland,Oakland,California,Coliseum Industrial,1997-10-01,2004-12-31
The O2 Arena,London,United Kingdom,Greenwich Peninsula,2007-06-24,2026-06-30
The Palace of Auburn Hills,Auburn Hills,Michigan,Auburn Hills (I-75 corridor),1988-10-01,2017-10-12
Time Warner Cable Arena,Charlotte,North Carolina,Uptown (First Ward),2008-08-01,2016-08-16
Toyota Center,Houston,Texas,Downtown/East Downtown,2003-10-06,2026-06-30
US Airways Center,Phoenix,Arizona,Downtown,2006-10-01,2015-08-31
UW–Milwaukee Panther Arena,Milwaukee,Wisconsin,Downtown,1950-08-04,2026-06-30
United Center,Chicago,Illinois,Near West Side,1994-08-18,2026-06-30
Verizon Center,Washington,District of Columbia,Chinatown/Penn Quarter,2006-03-01,2017-08-08
Vivint Arena,Salt Lake City,Utah,West Downtown,2020-01-01,2023-06-30
Vivint Smart Home Arena,Salt Lake City,Utah,West Downtown,2015-10-26,2019-12-31
Wachovia Center,Philadelphia,Pennsylvania,South Philadelphia Sports Complex,2003-07-01,2010-06-30
Wells Fargo Center,Philadelphia,Pennsylvania,South Philadelphia Sports Complex,2010-07-01,2025-08-31
Xfinity Mobile Arena,Philadelphia,Pennsylvania,South Philadelphia Sports Complex,2025-09-01,2026-06-30
